Cluster,Rank,Code,Description,Micro dept,Qty,Sales
0 - 1000,1,400100,DAIRY BEST MILK 500ML,UHT MILK FULL FAT,9819918,553153837
0 - 1000,2,440081,FRESH FRI OIL 5L,VEGETABLE OIL,208926,232204775
0 - 1000,3,730013,BEEF BOEREWORES PER PC,ROLLS PRE-PACKED,2420174,228579109
0 - 1000,4,350516,GILBEYS GIN 750ML,GIN,275260,226465859
0 - 1000,5,510160,SUGAR WHITE 2KG,WHITE SUGAR,794814,217244087
0 - 1000,6,675419,SUGAR 2 KG,WHITE SUGAR,667335,180111985
0 - 1000,7,510213,HOME BAKING FLOUR 2KG,ALL PURPOSE,847669,138920600
0 - 1000,8,770085,BUDGET BREAD WHITE(800GM),WHITE BREAD,1152496,128861138
0 - 1000,9,400033,GOLD CROWN FINO MILK 500ML TFA,UHT MILK FULL FAT,2367804,126170384
0 - 1000,10,565123,HOME BAKING FLOUR 2KG,ALL PURPOSE,920397,126002445
0 - 1000,11,440097,RINA VEGETABLE OIL 5L,VEGETABLE OIL,109876,124695607
0 - 1000,12,510161,SUGAR WHITE 1KG,WHITE SUGAR,881393,120957894
0 - 1000,13,470108,BASMATI 5KG,BASMATI RICE,80624,112943382
0 - 1000,14,675711,PREMIUM MAIZE MEAL 2 KG,PREMIUM,521004,104387912
0 - 1000,15,600066,MENENGAI CREAM BAR SOAP 1KG,SOAP BAR,542345,98703199
0 - 1000,16,510009,SOKO MAIZE FLOUR 2KG,NON PREMIUM,607468,95445312
0 - 1000,17,401009,MAZIWA BORA UHT FINO 500ML,UHT MILK FULL FAT,1945948,95004286
0 - 1000,18,760072,ON BONE PER KG,MEAT ON BONE,118862,88738828
0 - 1000,19,675445,SUGAR 1 KG,WHITE SUGAR,633957,85893815
0 - 1000,20,760160,CAPON FRESH PER KG,WHOLE CAPON,158773,82460884
0 - 1000,21,405007,KENYA MILK ESL 90DYS 500ML,UHT MILK FULL FAT,1392396,77971025
0 - 1000,22,400148,MAISHA LONG LIFE MILK 500ML,UHT MILK FULL FAT,1364419,76006463
0 - 1000,23,440050,FRESH FRI OIL 2L,VEGETABLE OIL,146065,73178558
0 - 1000,24,686100,CHOICE ESL MILK 500ML,UHT MILK FULL FAT,1482918,70154682
0 - 1000,25,760071,MINCED MEAT PER KG,MINCED MEAT,89376,70086025
0 - 1000,26,440110,GOLDEN FRY COOKING OIL 5L,VEGETABLE OIL,62534,68523414
0 - 1000,27,780004,PACKED RED SEEDLESS GRAPES(500GM),GRAPES,183545,66769929
0 - 1000,28,510950,PREM FRTFD SIFTED MAIZE MEAL 2KG,PREMIUM,415189,64885463
0 - 1000,29,440042,FRESH FRI OIL 3L,VEGETABLE OIL,82736,63418366
0 - 1000,30,440198,AVENA VEG OIL 5L,VEGETABLE OIL,57375,61091464
0 - 1000,31,510037,ALL PURPOSE FLOUR 2KG,ALL PURPOSE,395710,61012984
0 - 1000,32,760052,STEAK PER KG,STEAK,57724,60108295
0 - 1000,33,370440,FANTA BLACKCURRANT 2L,CSD,430438,59751232
0 - 1000,34,510039,MAIZE MEAL 2KG,NON PREMIUM,395967,59106925
0 - 1000,35,370205,COCACOLA 2L,CSD,381439,57631754
0 - 1000,36,350631,RARE J&B WHISKY 1 LTR,WHISKY,47055,57235231
0 - 1000,37,400034,FINO WHOLE MILK 500ML GREEN TFA,UHT MILK FULL FAT,1102618,56818152
0 - 1000,38,510367,SIFTED MAIZE FLOUR 2KG,NON PREMIUM,379752,56539229
0 - 1000,39,770086,BUDGET BREAD BROWN(800GM),BROWN BREAD,499259,55887052
0 - 1000,40,480074,BEEF SAUSAGE SAFARI 500G,BEEF SAUSAGES,170654,55568924
0 - 1000,41,700067,MILK BREAD 800GMS,WHITE BREAD,426270,55415100
0 - 1000,42,400065,SIDE ILARA POUCH 500ML,FULL FAT,996635,55147300
0 - 1000,43,470044,CIL PISHORI RICE 5KG,PISHORI RICE,39042,54609222
0 - 1000,44,700101,MILKY WHITE 600GMS,WHITE BREAD,533071,53307103
0 - 1000,45,490009,INDOMIE CHICKEN FLAVOUR 5IN1 70G,INSTANT NOODLES SACHETS,458701,53203540
0 - 1000,46,450044,BLUE BAND ORIGINAL OMEGA3&6 500G,FATS SPREAD,223686,52911276
0 - 1000,47,480158,BEEF SAUSAGES 1KG CATERING,BEEF SAUSAGES,89700,52039299
0 - 1000,48,440106,GOLDEN FRY COOKING OIL 3L,VEGETABLE OIL,74022,51603845
0 - 1000,49,661047,NON WOVEN PLAIN BAG V25 70GSM,BRANDED SHOPPING BAGS,2924325,50419731
0 - 1000,50,370442,FANTA PASSION 2L PET,CSD,360068,49959822
0 - 1000,51,370210,FANTA ORANGE 2L,CSD,351352,48584251
0 - 1000,52,380017,REFILL WATER 18.9L,MINERAL WATER,92628,48312233
0 - 1000,53,770075,BUDGET BREAD WHITE(600GM),WHITE BREAD,569162,48309238
0 - 1000,54,351215,BEST GIN 750ML,GIN,76133,48224648
0 - 1000,55,450226,BLUE BAND ORIGINAL OMEGA 3&6 1KG,FATS SPREAD,111176,48214237
0 - 1000,56,652191,PREMIUM BLENDED PISHORI RICE 5KG,PISHORI RICE,51950,48163798
0 - 1000,57,480080,VALUE PACK BEEF SAUSAGES 1KG,BEEF SAUSAGES,71133,47127742
0 - 1000,58,770037,PACKED SWEET MANDAZI(200GM),FRESH DEEP FRIED,1097491,46426362
0 - 1000,59,730003,BEEF SAMOSA PLAINorCHILI PERPC,OTHER FRIED PRODUCTS,1090849,46268024
0 - 1000,60,350498,WHITE CAP CAN 500ML,CANNED LAGER,233549,44944094
0 - 1000,61,760247,BREAST BONELESS PER KG,BONES,54316,43828811
0 - 1000,62,675054,D LAMINATED BAG FRESH&EASY,BRANDED SHOPPING BAGS,994953,42880922
0 - 1000,63,440111,GOLDEN FRY COOKING OIL 2L,VEGETABLE OIL,89509,42829917
0 - 1000,64,480065,BEEF SMOKIE LABLESS KG,BEEF SMOKIES,87410,42644050
0 - 1000,65,600011,MENENGAI CREAM BAR SOAP 800G,SOAP BAR,285004,42352692
0 - 1000,66,440096,RINA VEGETABLE OIL 3L,VEGETABLE OIL,55762,41931185
0 - 1000,67,987067,SIDE SWEETENED LALA BOTTLE 1L,FLAVOR,271723,41929807
0 - 1000,68,510208,AMAIZE FLOUR 2KG,PREMIUM,214939,41873248
0 - 1000,69,510109,CHOICE SUGAR 2KG,WHITE SUGAR,147138,41495465
0 - 1000,70,775447,PACKED MINI QUEENCAKES(6PC),QUEEN CAKES,329659,41034429
0 - 1000,71,350117,TUSKER CAN 500ML,CANNED LAGER,232424,40720256
0 - 1000,72,400078,WHOLE MILK POUCH 500ML,FULL FAT,698878,40530728
0 - 1000,73,401084,SIDE TUZO ESL 450ML,UHT MILK FULL FAT,878725,40214382
0 - 1000,74,760224,BLADE ON BONE PER KG,BLADE ON BONE,47995,39597771
0 - 1000,75,536471,TIARA TOILET PAPER - TEN PACK,VIRGIN,146527,39328172
0 - 1000,76,420366,ROYCO BEEF CUBE 4G X40CUBES,MCHUZI MIX & CUBES,324619,39178452
0 - 1000,77,730007,BEEF SAUSAGE PER PC,FRIED SAUSAGES,944530,38034169
0 - 1000,78,350126,GUINNESS CAN 500ML,CANNED LAGER,195735,37653415
0 - 1000,79,525771,GUNIA BAG # 30,NON-BRANDED SHOPPING BAGS,1450274,37507349
0 - 1000,80,770073,BUDGET BREAD WHITE(400GM),WHITE BREAD,688812,37255997
0 - 1000,81,677846,PETALS TOILET TISSUE TEN PACK,VIRGIN,136547,37137535
0 - 1000,82,510021,DOLA MAIZE MEAL 2KG,NON PREMIUM,250893,36966269
0 - 1000,83,730094,ORIENTAL CHICKEN WINGS PER KG,FRIED CHICKEN,26503,36660521
0 - 1000,84,470026,BASMATI RICE 2KG,BASMATI RICE,54973,35365378
0 - 1000,85,370072,RED BULL ENERGY DRINK 250ML,CAN,194161,34707765
0 - 1000,86,679672,ESL BORA MILK 450ML,FULL FAT,808584,34690132
0 - 1000,87,403973,YUMMY EGGS 30PACK,30 PACK,57974,34583579
0 - 1000,88,440025,RINA VEGETABLE OIL 2LTRS,VEGETABLE OIL,68256,34298072
0 - 1000,89,510004,MAIZE FLOUR 2KG,NON PREMIUM,235830,34214174
0 - 1000,90,510269,DOLA ALL PURPOSE FLOUR 2KG,ALL PURPOSE,242929,34096886
0 - 1000,91,730014,PUMPKIN CHAPATI PER PC,STARCH,1163371,34001477
0 - 1000,92,370572,MINUTE MAID DELIGHT APPLE 1L BTL,PET,262094,33849734
0 - 1000,93,601522,ZENTA SOAP CREAM 1KG,SOAP BAR,217586,33557576
0 - 1000,94,565275,MSAFI PURPLE DET 1KG SACHETS-LAV,HAND WASH POWDER,196000,33449088
0 - 1000,95,525650,ICE P/APPLE PUNCH 330ML,WHISKY,207023,33350452
0 - 1000,96,413759,MD QUILTED MATT 74x60x8,FOAM,6354,33244149
0 - 1000,97,760033,CHICKEN CAPON(1.0-1.3KG)PERKG,WHOLE CAPON,60073,33128256
0 - 1000,98,760077,LEG PER KG,CUTS,31430,33066450
0 - 1000,99,700006,ENGLISH MUFFINS 6S 300G,MUFFINS,275397,32762894
0 - 1000,100,987066,SIDE NATURAL LALA BOTTLE 1L,PLAIN,224637,32340070
0 - 1000,101,400334,LONG LIFE 250ML,UHT MILK FULL FAT,1077016,32310504
0 - 1000,102,480079,VALUE PACK PORK SAUSAGES 1KG,PORK SAUSAGES,50875,32076991
0 - 1000,103,400004,SIDE TUZO WHOLE FINO MILK 500ML,UHT MILK FULL FAT,545377,32062255
0 - 1000,104,770077,BUDGET BREAD BROWN(600GM),BROWN BREAD,371904,31671884
0 - 1000,105,350844,CAPTAIN MORGAN GOLD 750ML,RUM,35437,31615576
0 - 1000,106,513000,KG WHEAT FLOUR,ALL PURPOSE,236610,30858812
0 - 1000,107,610110,TENA TISSUE WHITE 10S UNWRAPPED,VIRGIN,77577,30535915
0 - 1000,108,401078,WHOLE FRESH MILK 2L,FULL FAT,95207,30510595
0 - 1000,109,610053,HANAN TOILET ROLLS 10PK,VIRGIN,66577,30211536
0 - 1000,110,370213,SPRITE 2L,CSD,215482,30009950
0 - 1000,111,440168,RINSUN SUNFLOWER 5LTRS,SUNFLOWER OIL,21043,29296331
0 - 1000,112,350247,SMIRNOFF DOUBLE BLACK330ml,VODKA,183421,29143171
0 - 1000,113,730077,CHICKEN CHINESE RICE PER KG,STARCH,48151,28798012
0 - 1000,114,410455,CADBURY DREAM WHITE CHOC 80G,WHITE,130254,28789806
0 - 1000,115,600657,JAMAA CREAM BAR SOAP 1KG,SOAP BAR,172599,28773805
0 - 1000,116,480091,BEEF SMOKIES 400G EXLONG,BEEF SMOKIES,108137,28445651
0 - 1000,117,770025,VANILLA CAKE PER KG,WHOLE CAKES,35629,28355974
0 - 1000,118,380008,QUENCHER LIFE WATER 18L,PURIFIED WATER,63257,28325019
0 - 1000,119,510002,MAIZE FLOUR 2KG,NON PREMIUM,180411,28242851
0 - 1000,120,730055,ROAST CHICKEN PER KG,ROASTED CHICKEN,26598,28040035
0 - 1000,121,730045,PILAU RICE PER KG,STARCH,41205,28009544
0 - 1000,122,370814,MINUTE MAID DELIGHT APPLE 400ML,PET,405411,27959383
0 - 1000,123,780397,PACKED IMPORTED RED GRAPES(500GM),GRAPES,78602,27800978
0 - 1000,124,480087,CLASSIC PORK SAUSAGE 500G,PORK SAUSAGES,86207,27658308
0 - 1000,125,760024,BONE STEAK/RIB EYE ON BONE PER KG,STEAK,34174,27558532
0 - 1000,126,470066,CIL AROMATIC PISHORI RICE 2KG,PISHORI RICE,45932,27191586
0 - 1000,127,510110,CHOICE SUGAR 1KG,WHITE SUGAR,190535,26864922
0 - 1000,128,700001,LOAF PREMIUM WHITE CT 800G,WHITE BREAD,204399,26571870
0 - 1000,129,320881,D FRDGE DF 138L MRDCD138DS/75SBR,DOUBLE DOOR FRIDGE,1056,26541990
0 - 1000,130,567134,BULK PASTU FRESH MILK PER LTR,FRESH MILK,354100,26524722
0 - 1000,131,400695,WHOLE MILK PASTURIZED 5L,FULL FAT,51857,25923400
0 - 1000,132,370223,COCA-COLA SODA 500ML PET,CSD,440565,25863314
0 - 1000,133,403974,YUMMY EGGS 15PACK,15 PACK,73008,25283789
0 - 1000,134,649054,ALMA L SOF 7STR WT C/HLDR (3+2+1+1,SOFAS,274,25105536
0 - 1000,135,610085,ROSY WHITE 10 PACK UNWRAPPED,BLENDED,97695,25047093
0 - 1000,136,545937,PROB. F/C.YOG.VAN 450G,PROBIOTIC YOGHURT,182672,24723771
0 - 1000,137,510045,HOME BAKING FLOUR 2KG,ALL PURPOSE,161972,24389060
0 - 1000,138,600068,IMPERIAL CLASSIC 150G 2+1,SOAP FAMILY,96623,24192510
0 - 1000,139,700009,WHITE CT 600G,WHITE BREAD,239813,23981300
0 - 1000,140,661186,NON WOVEN PLAIN BAG V22 70GSM,BRANDED SHOPPING BAGS,1852382,23953246
0 - 1000,141,610102,TOILEX WHITE TISSUE 10P UNWRAPPED,BLENDED,71830,23824727
0 - 1000,142,411303,KG SIFTED MAIZE MEAL,NON PREMIUM,166533,23727562
0 - 1000,143,370561,MINUTE MAID DELIGHT TROPICAL1LBTL,PET,183621,23714046
0 - 1000,144,700035,MILKY WHITE BREAD 400G,WHITE BREAD,361782,23515830
0 - 1000,145,400167,MALA 500ML POUCH,PLAIN,425108,23478555
0 - 1000,146,547727,SIDE LACTOSE FR UHT MILK FINO 500ML,LACTOSE FREE MILK,309642,23337374
0 - 1000,147,510221,SUGAR 2KG,WHITE SUGAR,82908,23283207
0 - 1000,148,400808,SIDE SWEET LALA 500ML BTL,FLAVOR,284053,23263040
0 - 1000,149,525091,NARUMORO ESL 500ML,UHT MILK FULL FAT,476873,22675915
0 - 1000,150,686500,CHOICE 10 PACK TISSUE,VIRGIN,65110,22492932
0 - 1000,151,780056,TOMATOES PER KG,TOMATOES,250892,22422015
0 - 1000,152,373187,PREDATOR ENERGY DRINK 400ML PET,PET,396772,22232930
0 - 1000,153,770070,BUDGET BREAD BROWN(400GM),BROWN BREAD,408387,22225293
0 - 1000,154,525370,FRESH MILK 1LITRE,FRESH MILK,289659,21983314
0 - 1000,155,280372,KIWI POLISH BLACK 100ML/80g,SHOE POLISH,107366,21820284
0 - 1000,156,351126,KENYA CANE PINEAPPLE 750ML,CANE,34005,21648919
0 - 1000,157,352125,BALOZI LAGER CAN 500ML,CANNED LAGER,119868,21333584
0 - 1000,158,780044,RED ONIONS PER KG,RED ONION,201580,21077458
0 - 1000,159,390058,NESCAFE CLASSIC JAR 200G,REGULAR INSTANT COFFEE,15782,21034593
0 - 1000,160,677153,PREMIUM MAIZE MEAL 2KG,PREMIUM,110958,20914234
0 - 1000,161,350132,SMIRNOFF BLACK ICE CAN 330ML,VODKA,129015,20799833
0 - 1000,162,370232,SODA COCACOLA 1.25L,CSD,183882,20607561
0 - 1000,163,770058,WHITE FOREST CAKE PER KG,WHOLE CAKES,29284,20535344
0 - 1000,164,380005,QUENCHER LIFE WATER 500ML,PURIFIED WATER,835170,20140530
0 - 1000,165,730024,CHIPS (PLAIN) PER KG,FRIED POTATOES,40154,20035801
0 - 1000,166,400006,SIDE UHT WHOLE MILK 250ML,UHT MILK FULL FAT,474760,19939920
0 - 1000,167,470059,PEARL RICE PISHORI LONG 5KG,PISHORI RICE,12586,19845253
0 - 1000,168,700423,BROADWAYS WHITE BREAD 600G,WHITE BREAD,203359,19604912
0 - 1000,169,400030,GOLD CROWN 500ML FIL PACK,FULL FAT,359693,19506786
0 - 1000,170,450132,PRESTIGE MARGARINE 1KG,FATS SPREAD,56146,19497521
0 - 1000,171,700313,SUPER MANDAZI 180GMS,PASTRY,450946,19437362
0 - 1000,172,440014,TOP FRY VEGETABLE OIL 3L,VEGETABLE OIL,26753,19347014
0 - 1000,173,410310,BULK MILK 1LITRE,FRESH MILK,257686,19326431
0 - 1000,174,770018,BLACK FOREST CAKE PER KG,WHOLE CAKES,24173,19246350
0 - 1000,175,400998,FRESH TETRA FINO 500ML,UHT MILK FULL FAT,339980,18843124
0 - 1000,176,400764,SIDE TCA WHOLE MILK 200ML,UHT MILK FULL FAT,585862,18747584
0 - 1000,177,770391,BUDGET WHITE BREAD(1.5KG),WHITE BREAD,93316,18622912
0 - 1000,178,400266,PLAIN MALA 1L BOTTLE,PLAIN,143654,18620534
0 - 1000,179,580007,COLGATE HERBAL 100ML/140G,DAILY USE TOOTHPASTE,83975,18606848
0 - 1000,180,370201,FANTA BLACKCURRANT 500ML PET,CSD,319377,18579648
0 - 1000,181,760217,LIVER PER KG,OVALS,22443,18524737
0 - 1000,182,770033,PACKED TUMA COCKTAIL(12PC),FRESH DEEP FRIED,387124,18355035
0 - 1000,183,440197,AVENA VEG OIL 3L,VEGETABLE OIL,23970,18261981
0 - 1000,184,677293,VALUE PACK 8X5X70GM,INSTANT NOODLES SACHETS,201448,18227212
0 - 1000,185,370813,MINUTE MAID DELIGHT TROPICAL 400M,PET,262457,18100478
0 - 1000,186,440206,PIKA VEG OIL 20L,VEGETABLE OIL,4254,17980290
0 - 1000,187,480081,RETAIL BEEF SMOKIES 22pcs 900g,BEEF SMOKIES,36684,17931042
0 - 1000,188,785958,RED SEEDLESS GRAPES PER PACK,GRAPES,49039,17818415
0 - 1000,189,985459,MAX THICK SANI PADS 8+2 PURPLE,DAY PADS,189799,17727242
0 - 1000,190,700057,QUEEN CAKES 12PCS 350G,MUFFINS,132662,17726505
0 - 1000,191,470415,FAMILY CEREAL 450G/425G,BISCUIT CEREAL,51530,17724614
0 - 1000,192,545938,PROB. F/C.YOG.VAN 250G,PROBIOTIC YOGHURT,224666,17686825
0 - 1000,193,657714,SUGAR WHITE 1KG BALE,BROWN SUGAR,6229,17668731
0 - 1000,194,380016,MINERAL WATER 500ML,MINERAL WATER,340759,17625353
0 - 1000,195,510369,HOME BAKING FLOUR 2KG,ALL PURPOSE,121384,17569678
0 - 1000,196,780120,IMPORTED TANGERINE PER KG,TANGERINE,25374,17553490
0 - 1000,197,440015,TOP FRY VEGETABLE OIL 5L,VEGETABLE OIL,15268,17532889
0 - 1000,198,440004,FRESH FRI OIL 1LTR,VEGETABLE OIL,58028,17508373
0 - 1000,199,380010,QUENCHER LIFE WATER 1L,PURIFIED WATER,404836,17431289
0 - 1000,200,400973,SIDE DELAMERE PREM YOG LMNBISC450ML,FRUIT AND FLAVOURED YOGHURT,140654,17402517
0 - 1000,201,460258,DRIED DATES PER KG,WEIGHED PRODUCTS,26469,17395300
0 - 1000,202,601220,MSAFI WASHING POWDER 1KG SAT WHT,HAND WASH POWDER,102352,17324704
0 - 1000,203,350919,EMBASSY CIGARETTE LIGHT 20S,CIGARETTES,41841,17235662
0 - 1000,204,480131,VALUE PACK BEEF SAUSAGES 1KG,BEEF SAUSAGES,33307,17206680
0 - 1000,205,400860,SIDE MAZIWA LALA NAT 500ML BTL,PLAIN,220058,17073477
0 - 1000,206,565127,MAIZE MEAL 2KG,NON PREMIUM,125484,16977360
0 - 1000,207,770067,SWEET BREAD(600GM),ARTISAN BREADS,184172,16976884
0 - 1000,208,220699,NAN 1 (0-6MONTH) 400G,BABY FORMULA,10017,16925274
0 - 1000,209,405927,ARIEL DET. FRESH LAV CLEAN 1KG,HAND WASH POWDER,62650,16908295
0 - 1000,210,700178,BUTTER TOAST 600G,WHITE BREAD,168340,16834000
0 - 1000,211,571318,MILKING JELLY 200G,BODY JELLIES,154860,16821055
0 - 1000,212,440114,RINSUN SUNFLOWER OIL 3L,SUNFLOWER OIL,17724,16672492
0 - 1000,213,440095,RINA VEGETABLE OIL 1L,VEGETABLE OIL,61360,16657399
0 - 1000,214,610274,VELVEX TOILET WHITE 10 ROLLS UNW,VIRGIN,39540,16628824
0 - 1000,215,700076,WHITE BREAD CT 400G,WHITE BREAD,255499,16607435
0 - 1000,216,700026,CHOCOLATE CUP CAKE 6S 300G,MUFFINS,138504,16477255
0 - 1000,217,730135,CHIPS MASALA PER KG,FRIED POTATOES,32364,16460892
0 - 1000,218,677849,SOFTLEAF SERVIETTE 100S,SERVIETTES,192109,16455130
0 - 1000,219,440103,RINSUN SUNFLOWER OIL 2L,SUNFLOWER OIL,25313,16444971
0 - 1000,220,760022,MINCED MEAT PER KG,MINCED MEAT,14864,16413954
0 - 1000,221,400536,GOLD CROWN ESL POUCH 500ML,UHT MILK FULL FAT,327174,16392114
0 - 1000,222,350290,VICEROY BRANDY 750ML,BRANDY,12690,16389453
0 - 1000,223,350157,CAN 500ML,CANNED LAGER,74093,16381630
0 - 1000,224,700140,BUTTER TOAST BREAD 800G,WHITE BREAD,125922,16369860
0 - 1000,225,410452,CADBURY DAIRYMILK 80G,DARK,73263,16359266
0 - 1000,226,231399,SOFTCARE BABY WIPES 80S,NORMAL WIPES,92298,16216598
0 - 1000,227,510040,MAIZE FLOUR 2KG,PREMIUM,91013,16205597
0 - 1000,228,400094,FRESH MILK 500ML FILL PACK,FULL FAT,302332,16111929
0 - 1000,229,646887,SUNLIGHT YELLOW BANDED 1KG+400G,HAND WASH POWDER,41393,16057690
0 - 1000,230,350917,DUNHILL SWITCH CIGARRETES,CIGARETTES,38688,15936292
0 - 1000,231,350629,JOHNNIE WALKER BLACK LABEL 1LTR,WHISKY,3749,15932979
0 - 1000,232,677653,MAIZE MEAL 2KG,NON PREMIUM,105849,15911177
0 - 1000,233,400272,ESL POUCH 500ML,UHT MILK FULL FAT,313169,15889219
0 - 1000,234,646888,SUNLIGHT LVNDR BNDD 1KG+400G,HAND WASH POWDER,40909,15869878
0 - 1000,235,470076,DAAWAT BASMATI 5KG,BASMATI RICE,9699,15868009
0 - 1000,236,380058,REFILL WATER 18.9L,MINERAL WATER,33434,15775345
0 - 1000,237,440013,TOP FRY VEGETABLE OIL 2L,VEGETABLE OIL,31815,15757083
0 - 1000,238,510130,SELF RAISING FLOUR 2KG,SELF RAISING,88977,15745625
0 - 1000,239,450041,BLUE BAND ORIGINAL OMEGA3&6 250G,FATS SPREAD,114947,15741285
0 - 1000,240,610049,VELVEX WHITE SERVIETTES 100S,SERVIETTES,149372,15736622
0 - 1000,241,780365,TOMATOES PER KG,TOMATOES,175252,15710466
0 - 1000,242,700104,WHITE BARREL 600GMS,WHITE BREAD,156846,15684600
0 - 1000,243,510036,PURE WIMBI PORRIDGE 1KG,WIMBI,100730,15666814
0 - 1000,244,678519,SMART 43 TV FHD 43A4K,SMART LED TV,545,15666126
0 - 1000,245,762020,KENCHIC CAPON PER KG,WHOLE CAPON,27845,15613249
0 - 1000,246,700455,BROADWAYS WHITE BREAD 400G,WHITE BREAD,239216,15549044
0 - 1000,247,380014,MINERAL WATER 1L,MINERAL WATER,200243,15536105
0 - 1000,248,600949,DET. FRESH FLORAL CLEAN 1KG,HAND WASH POWDER,57688,15511387
0 - 1000,249,545939,SIDE PROB. F/CUP.YOG.S/BERRY 450G,PROBIOTIC YOGHURT,114510,15498377
0 - 1000,250,770804,PACKED SPRINKLED DOUGHNUTS(3PC),FRESH DEEP FRIED,182379,15453372
0 - 1000,251,370741,MONSTER ENERGY ORIGINAL 500ML CAN,CAN,77560,15414421
0 - 1000,252,352123,CHROME GIN 750ML,GIN,29418,15376072
0 - 1000,253,510044,MANDAZI FLOUR 2KG,SELF RAISING,86093,15323774
0 - 1000,254,586482,CHARCOAL GENTLE CLEAN 120ML,DAILY USE TOOTHPASTE,52797,15296296
0 - 1000,255,770044,CHOCOLATE DOUGHNUT PER PC,FRESH DEEP FRIED,446734,15259535
0 - 1000,256,480077,BEEF BRAWN-SLICED 200G,BEEF BRAWN,119921,15194940
0 - 1000,257,440059,FRESH FRI COOKING OIL 10L,VEGETABLE OIL,6402,15154128
0 - 1000,258,390046,NESCAFE CLASSIC JAR 100G,REGULAR INSTANT COFFEE,21416,15122213
0 - 1000,259,350765,TUSKER CIDER CAN 500ML,CANNED CIDER,70536,15095508
0 - 1000,260,320882,D FRDGE DF138L MRDCD138XLB/75XLB,DOUBLE DOOR FRIDGE,575,15017346
0 - 1000,261,370884,COCA-COLA ZERO 2L PET,CSD,98134,14942675
0 - 1000,262,480134,MEATY BEEF SAUSAGE 500G,BEEF SAUSAGES,56564,14938987
0 - 1000,263,546924,WHOLEGRAIN CEREAL900G/850GMS,BISCUIT CEREAL,24224,14827699
0 - 1000,264,480083,CHICKEN SAUSAGE VALUE PACK 1KG,CHICKEN SAUSAGES,23231,14799414
0 - 1000,265,470065,PEARL RICE PISHORI L/G 2KG,PISHORI RICE,22962,14782802
0 - 1000,266,370229,FANTA ORANGE 500ML PET,CSD,253509,14768417
0 - 1000,267,400958,SIDE DELAMERE PREMYOG VAN 450ML CUP,FRUIT AND FLAVOURED YOGHURT,118435,14660672
0 - 1000,268,370612,MINUTE MAID DELIGHT MANGO 1L BTL,PET,112593,14539087
0 - 1000,269,730090,BEEF SPRING ROLL PER PC,OTHER FRIED PRODUCTS,199126,14440458
0 - 1000,270,350921,DUNHILL DOUBLE CIGARRETES,CIGARETTES,35021,14426505
0 - 1000,271,700330,BARREL 800G WHITE,WHITE BREAD,110254,14333020
0 - 1000,272,370089,FANTA PASSION 500ML PET,CSD,245921,14324646
0 - 1000,273,440205,PIKA VEG OIL 10L,VEGETABLE OIL,6257,14129108
0 - 1000,274,510093,HOME BAKING FLOUR 2KG,ALL PURPOSE,91099,14119695
0 - 1000,275,390119,YA KENYA TEA 500G,BLACK LOOSE,65321,14113107
0 - 1000,276,440012,TOP FRY VEGETABLE OIL 1L,VEGETABLE OIL,53500,14025716
0 - 1000,277,730006,LYONNAISE POTATO PER KG,FRIED POTATOES,25467,13830977
0 - 1000,278,760065,KIENYEJI PER KG,KIENYEJI,15338,13789276
0 - 1000,279,610051,HANAN TOILET ROLLS 4PACK,VIRGIN,74792,13652808
0 - 1000,280,403975,YUMMY EGGS 6PACK,6 PACK,89579,13359710
0 - 1000,281,780314,RED ONIONS PER KG,RED ONION,127357,13281385
0 - 1000,282,350420,TRIPLE WOOD 750ML,WHISKY,9050,13260692
0 - 1000,283,400967,SIDE DELAMERE PREM YOG S/BRRY 450ML,FRUIT AND FLAVOURED YOGHURT,106236,13152336
0 - 1000,284,405012,KENYA PREMIUM TFA MILK 500ML,UHT MILK FULL FAT,226719,13132058
0 - 1000,285,370584,RIBENA B/CURRANT 250ML RTD,TETRA,169042,13115376
0 - 1000,286,401004,SIDE DELAMERE W/BERRIES YOG 450ML,FRUIT AND FLAVOURED YOGHURT,105852,13110552
0 - 1000,287,683834,LATO-FINO-POUCH-500ML,UHT MILK FULL FAT,232023,13079120
0 - 1000,288,770082,PACKED BROWN BUNS(400GM),FRESH BUN&ROLLS,176702,13075616
0 - 1000,289,480076,NYAMABITE 125G,NYAMABITE,163008,13068265
0 - 1000,290,450131,PRESTIGE MARGARINE ORIGINAL 500G,FATS SPREAD,69058,13052926
0 - 1000,291,678639,REF TMF GL-C252SLBB 234L SLV,DOUBLE DOOR FRIDGE,220,13031899
0 - 1000,292,370432,RIBENA BLACKCURRANT 1L RTD,TETRA,56418,12954017
0 - 1000,293,700060,MUFFINS 6PC 300GMS,MUFFINS,108818,12945591
0 - 1000,294,400005,SIDE UHT WHOLE MILK 1LTR,UHT MILK FULL FAT,81801,12890387
0 - 1000,295,510220,SUGAR 1KG,WHITE SUGAR,90316,12878986
0 - 1000,296,350918,ROTHMANS BY SPORTSMAN CIGARET 20S,CIGARETTES,40094,12788654
0 - 1000,297,760034,PERCH FISH FILLET PER KG,FILLET,11103,12768074
0 - 1000,298,526228,COOKER 3+1 MST5060U / P31ESL,3 GAS+1 ELECTRIC COOKERS,576,12737170
0 - 1000,299,780249,PINK LADY APPLES PER KG,APPLE,22603,12709226
0 - 1000,300,770050,BANANA LOAF BLOCK(500GM),BLOCKS,76025,12671667
