Cluster,Rank,Code,Description,Micro dept,Qty,Sales
Rest,34419,440128,BAHARI FRY COOKING OIL 5L,VEGETABLE OIL,2,2710
Rest,34420,677422,BUGGIES RAIN BOOT NAVY/GREY 6,GUM BOOTS,7,2709
Rest,34421,680507,GIRLS JEANS TRS TINA #M2024,KIDS JEANS,2,2707
Rest,34422,651351,EGYPTIAN KITCHEN TOWEL 3PC,KITCHEN TOWEL,7,2706
Rest,34423,561423,CREME RELAXER REG 100G/140ML,HAIR GEL AND WAX,11,2703
Rest,34424,525715,HEAT ROLL ON LOTION 50ML,FIRST AIDS,3,2700
Rest,34425,526120,ALICAFE CLASSIC 3IN1 SACHET 20G,MIXED COFFEE,68,2697
Rest,34426,340311,GREENS BROCCOLI 450G,BROCCOLI,7,2695
Rest,34427,523188,TROMPETTE ROSE DINNER PLATE,PLATES,6,2695
Rest,34428,575845,O CARE ALOE MSTRSNG S/B SPF 15 120M,SUNSCREENS,3,2690
Rest,34429,686381,FAY GIRLS DRESSES,DRESS,3,2690
Rest,34430,988172,BOXER SHORT AMBIS 7007,BOXERS,6,2690
Rest,34431,404326,GIRLS N/DRESS WEIKAISH A5384,GIRL NIGHT DRESS,6,2690
Rest,34432,985595,HARY BBY PANT TOWLLING LRG SZ,LADIES PANTIES,13,2690
Rest,34433,402850,BIB I PC #R-8051,BABY ACCESSORIES,13,2690
Rest,34434,646426,CREATION B/SPRAY SUPER BLACK 200ML,DEO SPRAYS,8,2690
Rest,34435,402280,ANKLE SOCK ROFF SILVER,SOCKS,8,2690
Rest,34436,644543,TABLEMAT #07 [SCAPE-WEAVE],CLOTH DECORATIONS,2,2690
Rest,34437,421255,DE NIGRIS RED WINE VINEGER 500ML,VINEGAR,7,2685
Rest,34438,421676,M/RECIPE BUTTER CHICKEN PASTE 300,TOMATO PASTE,7,2685
Rest,34439,421674,MOTHERS RECIPE TIKKA PASTE 300G,TOMATO PASTE,7,2685
Rest,34440,287084,LADIES PANTIE COL 1 #8047 SZ 2,LADIES PANTIES,7,2685
Rest,34441,684600,CONE HAT 3583,XMAS CLASSIC DECORATION,89,2685
Rest,34442,632696,MOP BUCKET LARGE,MOP BUCKET,4,2680
Rest,34443,410892,FAIRLEIGH JAGGERY 1KG,BAKING INGREDIENTS,12,2679
Rest,34444,580454,FRESHMED INTENSIV CARE TOOTHBRSH,MANUAL TOOTHBRUSH,23,2677
Rest,34445,981371,LADIES PANT YINGZI 6102,LADIES PANTIES,9,2677
Rest,34446,288938,LADIES BRA B (CAP) #038,LADIES BRA,5,2672
Rest,34447,287418,LADIES BRA A (CAP) #042,LADIES BRA,5,2672
Rest,34448,654969,HANGER TWIST HEAVY 10PC,HANGERS,4,2672
Rest,34449,671345,PELIKAN STAMP PAD INK BLACK 30ML,LEGAL PAD,10,2672
Rest,34450,985116,KID SHOE SPORT A125/B125,KIDS SHOES,2,2672
Rest,34451,675650,BABY DUNGAREE CARAMEL T.REX,ROMPER,2,2672
Rest,34452,675639,BABY GIRL 3PC SUIT 2 BUTTON,DRESS,2,2672
Rest,34453,675637,BABY DUNGAREE LITTLE HOME,ROMPER,2,2672
Rest,34454,656686,SYRUP 750ML,BAKING INGREDIENTS,2,2672
Rest,34455,653412,NONSTIC FRY PAN 24CM,POTS AND PANS,2,2672
Rest,34456,404706,MEN T-SHIRT PLAYFORD#V1521,T-SHIRTS,2,2672
Rest,34457,647389,M-GF XXL AIR FRSHNER FLOWER400ML,TOILET BLOCK,7,2668
